DATE,BULAN,TAHUN,TINGGI HILAL MINIMUM,ELONGASI GEOSENTRIK MINIMUM,ELONGASI TOPOSENTRIK MINIMUM,BEDA AZIMUT MINIMUM,TINGGI HILAL MAKSIMUM,ELONGASI GEOSENTRIK MAKSIMUM,ELONGASI TOPOSENTRIK MAKSIMUM,BEDA AZIMUT MAKSIMUM,MABIMS NOT VISIBLE,MABIMS VISIBLE,ODEH NOT VISIBLE,ODEH VISIBLE OPTIC,ODEH VISIBLE NAKED EYE,KATSNER NOT VISIBLE,KATSNER VISIBLE OPTIC,KATSNER VISIBLE NAKED EYE
1991-7-12,1,1412,5.74464923509418,7.87153373143721,6.86050581371994,-3.77439894275057,7.94234654744389,10.0716236023276,9.145606852021,-0.180689987432743,0,1,0,0.64,0.36,0,1,0
1991-8-10,2,1412,0.29914894908451,4.43786446565452,3.78197076409981,-5.01359795266274,3.17076659213466,6.25301772661282,5.70974693700854,-3.08901956125385,1,0,1,0,0,0.41,0.59,0
1991-9-9,3,1412,6.04735887210631,12.763884707054,11.9723202277695,-11.1162907955431,10.5677718707977,14.4734690972594,13.8766127390355,-7.03510644847989,0,1,0,0.01,0.99,0,0.74,0.26
1991-10-8,4,1412,0.588661534528671,7.4872511712399,6.9937214214587,-7.91462306692125,4.47943659950516,8.8431900864652,8.41733311842581,-5.95062003054255,0.68,0.32,0.99,0.01,0,0.24,0.76,0
1991-11-6,5,1412,-4.92362639605067,4.29891801036835,4.41489044041118,-4.3004180930549,-1.83738416630815,4.62160749625352,5.30036056143212,-3.37589574225137,1,0,1,0,0,1,0,0
1991-12-6,6,1412,-0.328239681791463,2.93960110591915,2.43428004513263,-2.80615518967878,2.19231725277499,4.23220133909127,3.43449066737611,-1.56217520005293,1,0,1,0,0,0.71,0.29,0
1992-1-5,7,1412,2.18037564614099,4.27026164127388,3.3895110011185,0.710085449675233,3.92332215323692,5.95448731098951,5.1880773694153,2.87515612926998,1,0,1,0,0,0,1,0
1992-2-3,8,1412,-6.90568041216015,4.06512280983769,4.94086436547721,0.0465049742266785,-5.33811458308628,5.31046597972199,6.15798867044231,2.12081889856421,1,0,1,0,0,1,0,0
1992-3-4,9,1412,-6.04663443681984,4.64619157340772,5.08768446554474,2.54824226939815,-3.62552310047611,5.03113395284528,5.80038738660465,4.25664841094914,1,0,1,0,0,1,0,0
1992-4-3,10,1412,-3.13129634332361,5.2071292007112,5.2371223690347,5.02493399932774,0.164554307189416,5.93147494231317,5.97807003712837,5.89900623675999,1,0,1,0,0,1,0,0
1992-5-3,11,1412,3.14646400765438,8.33376926250462,7.72150699529107,4.67692575393681,7.00056187447986,10.0367420469248,9.26093995037274,7.45597592998092,0,1,0.23,0.77,0,0,1,0
