"DATE","BULAN","TAHUN","TINGGI HILAL MINIMUM","ELONGASI GEOSENTRIK MINIMUM","ELONGASI TOPOSENTRIK MINIMUM","BEDA AZIMUT MINIMUM","TINGGI HILAL MAKSIMUM","ELONGASI GEOSENTRIK MAKSIMUM","ELONGASI TOPOSENTRIK MAKSIMUM","BEDA AZIMUT MAKSIMUM","MABIMS NOT VISIBLE","MABIMS VISIBLE","ODDEH NOT VISIBLE","ODDEH VISIBLE OPTIC","ODDEH VISIBLE NAKED EYE"
"1989-8-2","1","1410","6.0714878858472","8.0556782253311","7.1324382961032","-3.3861790519045","7.8605826178656","9.794949701232","8.9372534010318","0.25627162496869","0","1","0","0.74","0.26"
"1989-8-31","2","1410","-1.1454185029803","1.7683133861133","1.4293247407908","-2.5948786803228","0.75623800356354","3.1792760148842","2.754533867185","-1.4226201582686","1","0","1","0","0"
"1989-9-30","3","1410","0.53894295040824","6.1093922483442","5.5883248211954","-6.4892351271747","3.6936956092174","7.3844787490655","6.9801121695783","-4.6343266372044","0.88","0.12","1","0","0"
"1989-10-29","4","1410","-6.7396439020473","5.03946247268","5.4937294868717","-4.5229070475105","-3.9582372084347","5.7272286987894","6.5200297673976","-2.7687865190211","1","0","1","0","0"
"1989-11-28","5","1410","-3.8009685188715","4.7933438548013","4.7161060080747","-4.8509748927708","-0.43151294651559","4.8767352437944","5.3062991790283","-4.4029319805971","1","0","1","0","0"
"1989-12-28","6","1410","0.45039842951561","4.0178153863825","3.4303375928828","-3.3539087206202","3.2052737446847","5.2505552555578","4.395666360131","-1.7065915832516","1","0","1","0","0"
"1990-1-26","7","1410","4.5850081575693","6.8712763373065","5.9217399709839","0.6841710183551","6.6757093957975","8.7534092863837","7.9191208911519","4.048274474481","0","1","0.04","0.96","0"
"1990-2-25","8","1410","-2.8061208011083","1.7944494444635","2.1309288575441","1.5041960358148","-0.71147469588132","2.6436837191839","2.6870596381321","2.6165869036854","1","0","1","0","0"
"1990-3-27","9","1410","1.6980101179483","8.6215786426196","7.9966122765717","6.3015927420794","5.850456675943","10.339703856942","9.8616602149287","9.0235202535656","0.25","0.75","0.65","0.35","0"
"1990-4-25","10","1410","-2.4876694813138","5.5002748448118","5.4154776392761","5.4027036044644","1.4022717686219","6.6679760389589","6.4755085804876","6.4760888367975","1","0","1","0","0"
"1990-5-25","11","1410","7.6541543712352","12.806180065134","12.082654225152","4.775459399016","12.250884595369","14.853760056287","13.919638531158","9.3065158827342","0","1","0","0","1"
"1990-6-23","12","1410","5.2051034259875","8.111552579983","7.2614388804977","0.76240272404408","8.2897277174694","10.143833202186","9.1546274136956","4.2724362280117","0","1","0","0.67","0.33"
"1990-7-22","1","1411","1.217215470649","3.0737995098201","2.1063332845011","-1.4761014281092","3.0947915516055","5.0698743004791","4.1396870527826","0.48171697990102","1","0","1","0","0"
"1990-8-21","2","1411","6.183658135774","10.639794014242","9.780713474488","-8.1917962852518","9.6207208195666","12.405914906876","11.716268034204","-4.1794330077262","0","1","0","0.1","0.9"
"1990-9-19","3","1411","-0.56722395890315","5.5982846870558","5.1792786074311","-6.3537272855114","2.6543853391648","6.8286389236301","6.5450094783173","-4.7910473587438","1","0","1","0","0"
"1990-10-19","4","1411","2.7269569665412","9.2523644141418","8.6875546536929","-8.8224664866118","6.7259917797524","10.627508713006","10.069928237889","-6.2036533641851","0.02","0.98","0.33","0.67","0"
"1990-11-17","5","1411","-3.7678016375341","4.581592268721","4.5617161355853","-4.6768225913935","-0.56503978997109","4.7027338508546","5.0773499932551","-4.1472500217998","1","0","1","0","0"
"1990-12-17","6","1411","-0.41086407444626","3.2445524746304","2.765665765721","-3.075446398344","2.1855521150984","4.3210861264765","3.5979961085377","-1.8290103966427","1","0","1","0","0"
"1991-1-15","7","1411","2.0893858422016","4.0457942125329","3.1425827149212","0.40542889201595","3.7555340593001","5.7654951051251","4.9744398223663","2.6399084632602","1","0","1","0","0"
"1991-2-14","8","1411","-6.4122618133689","3.3840989988816","4.2998226278737","-0.45117292439514","-4.8871456965338","4.7291753510168","5.6297675029637","1.5397810155918","1","0","1","0","0"
"1991-3-16","9","1411","-4.0609150440239","4.3681560543478","4.6534986907079","3.7339978040617","-1.1740286277529","4.8569005383831","5.1307754800252","4.8509172723311","1","0","1","0","0"
"1991-4-15","10","1411","1.374483679733","8.6774407382003","8.1619530112919","6.6014694134943","5.7083960472801","10.289215107598","9.7689677578041","9.042326820889","0.32","0.68","0.7","0.3","0"
"1991-5-14","11","1411","-1.8495885128932","4.6938350703877","4.509875794977","4.431202991219","1.8613677394719","5.8676395897716","5.4858767593686","5.4434852902976","1","0","1","0","0"
"1991-6-13","12","1411","9.2159517219451","12.010991174571","11.094093313768","0.070100983787142","12.368556505813","14.196755653432","13.20204026927","5.089903736918","0","1","0","0","1"
"1991-7-12","1","1412","5.7446492350942","7.8715337314372","6.8605058137199","-3.7743989427506","7.9423465474439","10.071623602328","9.145606852021","-0.18068998743274","0","1","0","0.64","0.36"
"1991-8-10","2","1412","0.29914894908451","4.4378644656545","3.7819707640998","-5.0135979526627","3.1707665921347","6.2530177266128","5.7097469370085","-3.0890195612538","1","0","1","0","0"
"1991-9-9","3","1412","6.0473588721063","12.763884707054","11.972320227769","-11.116290795543","10.567771870798","14.473469097259","13.876612739036","-7.0351064484799","0","1","0","0.01","0.99"
"1991-10-8","4","1412","0.58866153452867","7.4872511712399","6.9937214214587","-7.9146230669213","4.4794365995052","8.8431900864652","8.4173331184258","-5.9506200305426","0.68","0.32","0.99","0.01","0"
"1991-11-6","5","1412","-4.9236263960507","4.2989180103683","4.4148904404112","-4.3004180930549","-1.8373841663082","4.6216074962535","5.3003605614321","-3.3758957422514","1","0","1","0","0"
"1991-12-6","6","1412","-0.32823968179146","2.9396011059192","2.4342800451326","-2.8061551896788","2.192317252775","4.2322013390913","3.4344906673761","-1.5621752000529","1","0","1","0","0"
"1992-1-5","7","1412","2.180375646141","4.2702616412739","3.3895110011185","0.71008544967523","3.9233221532369","5.9544873109895","5.1880773694153","2.87515612927","1","0","1","0","0"
"1992-2-3","8","1412","-6.9056804121601","4.0651228098377","4.9408643654772","0.046504974226679","-5.3381145830863","5.310465979722","6.1579886704423","2.1208188985642","1","0","1","0","0"
"1992-3-4","9","1412","-6.0466344368198","4.6461915734077","5.0876844655447","2.5482422693981","-3.6255231004761","5.0311339528453","5.8003873866047","4.2566484109491","1","0","1","0","0"
"1992-4-3","10","1412","-3.1312963433236","5.2071292007112","5.2371223690347","5.0249339993277","0.16455430718942","5.9314749423132","5.9780700371284","5.89900623676","1","0","1","0","0"
"1992-5-3","11","1412","3.1464640076544","8.3337692625046","7.7215069952911","4.6769257539368","7.0005618744799","10.036742046925","9.2609399503727","7.4559759299809","0","1","0.23","0.77","0"
"1992-6-1","12","1412","-0.15914577702189","2.8313886256727","2.2651517472824","1.3742960035062","2.5973452318837","4.624762166436","3.6955387527587","2.758426652559","1","0","1","0","0"
"1992-6-30","1","1413","9.3922030559257","11.734687512817","10.740189046889","-5.0213714447783","11.800610900174","13.918027458496","12.999417943101","-0.058504625442197","0","1","0","0","1"
"1992-7-29","2","1413","4.0145266966236","8.4558493799502","7.5785045750822","-7.2907756240091","7.5002766516076","10.491339169562","9.7887426559738","-3.9968672529757","0","1","0.03","0.89","0.08"
"1992-8-28","3","1413","-1.0138839071316","5.8688525988075","5.4944651786376","-6.8569585007821","2.6166693703956","7.2886617451388","7.0088943330444","-5.2602134920863","1","0","1","0","0"
